    0.00    64.25     8.37
    0.10    61.04     8.23
    0.20    79.11     8.11
    0.30    59.14     7.98
    0.40    70.49     7.86
    0.50    67.22     7.75
    0.60    50.75     7.64
    0.70    50.25     7.53
    0.80    55.72     7.43
    0.90    57.57     7.33
    1.00    53.17     7.23
    1.10    49.36     7.14
    1.20    38.72     7.05
    1.30    48.88     6.96
    1.40    48.46     6.88
    1.50    31.74     6.80
    1.60    45.96     6.72
    1.70    47.18     6.65
    1.80    45.90     6.58
    1.90    44.03     6.51
    2.00    49.93     6.45
    2.10    32.57     6.38
    2.20    33.81     6.32
    2.30    37.56     6.26
    2.40    31.69     6.21
    2.50    37.10     6.16
    2.60    33.49     6.10
    2.70    30.68     6.06
    2.80    18.91     6.01
    2.90    30.82     5.96
    3.00    33.23     5.92
    3.10    44.55     5.88
    3.20    30.38     5.84
    3.30    33.67     5.80
    3.40    39.75     5.76
    3.50    33.63     5.73
    3.60    44.35     5.70
    3.70    24.89     5.66
    3.80    27.66     5.63
    3.90    31.29     5.60
    4.00    30.07     5.58
    4.10    24.58     5.55
    4.20    26.65     5.52
    4.30    41.83     5.50
    4.40    29.97     5.48
    4.50    31.97     5.45
    4.60    31.05     5.43
    4.70    18.74     5.41
    4.80    31.16     5.39
    4.90    30.12     5.37
    5.00    22.34     5.36
    5.10    24.95     5.34
    5.20    37.91     5.32
    5.30    31.70     5.31
    5.40    33.97     5.29
    5.50    21.89     5.28
    5.60    33.97     5.27
    5.70    31.29     5.25
    5.80    29.86     5.24
    5.90    26.93     5.23
    6.00    21.52     5.22
    6.10    29.43     5.21
    6.20    35.57     5.20
    6.30    29.25     5.19
    6.40    22.76     5.18
    6.50    25.85     5.17
    6.60    38.64     5.16
    6.70    24.88     5.16
    6.80    25.27     5.15
    6.90    25.31     5.14
    7.00    31.43     5.13
    7.10    35.56     5.13
    7.20    23.34     5.12
    7.30    28.95     5.12
    7.40    28.89     5.11
    7.50    27.12     5.10
    7.60    24.83     5.10
    7.70    27.40     5.09
    7.80    20.58     5.09
    7.90    21.61     5.09
    8.00    25.91     5.08
